,Product,Category,Ingredients
686,Itk Nourishing Lip Balm Rating,Lip Balm,POLYBUTENE  HYDROGENATED POLYISOBUTENE  DIISOSTEARYL MALATE  MICROCRYSTALLINE WAX  SYNTHETIC WAX  POLYGLYCERYL-2 TRIISOSTEARATE HYDROGENATED STYRENE/ISOPRENE COPOLYMER  TRIACONTANYL PVP  BUTYROSPERMUM PARKII (SHEA) BUTTER  THEOBROMA CACAO (COCOA) SEED BUTTER  EUPHORBIA CERIFERA (CANDELILLA) WAX COCOS NUCIFERA (COCONUT) OIL  COPERNICIA CERIFERA (CARNAUBA) WAX  GLYCERYL CAPRYLATE  TOCOPHERYL ACETATE
687,"Bellingham Pumped Foaming Hand Soap Refill Tablets, Lavender Rating",Liquid Hand Soap,potassium cocoate  potassium sunflowerate  glycerin  water  organic cocos nucifera (coconut) oil  organic helianthus annuus (sunflower) seed oil]  organic lavandula hybrida (lavender) oil* [scent made entirely from certified organic essential oil containing linalool*
688,"Clean Faced Cosmetics Natural Lip Balm, Relaxing Lavender Rating",Lip Balm,organic unrefined coconut oil  organic shea butter  organic candelilla wax  organic vitamin E  organic lavender EO  organic lavender blossoms
689,"Alaffia Hand Soap, Coconut & Moringa Coconut Pineapple (2018 formulation)",Liquid Hand Soap,MORINGA OLEIFERA (MORINGA) LEAF* AQUEOUS EXTRACT  COCAMIDOPROPYL BETAINE  SAPONIFIED COCOS NUCIFERA (COCONUT) OIL*  LAURYL GLUCOSIDE  COCOS NUCIFERA (COCONUT) WATER*  AROMATIC COCOS NUCIFERA (COCONUT) EXTRACT  AROMATIC ANANAS COMOSUS (PINEAPPLE) EXTRACT.
690,"Siliski Soaps Foaming Glycerin Soap, Rosemary + Lavender (2020",Liquid Hand Soap,WATER  GLYCERIN SAPONIFIED OILS OF OLIVE COCONUT  CASTOR  ESSENTIAL OILS  CITRIC ACID
691,"Dehiya Lip + Cheek Tint, Dreamer (2020 formulation) Rating",Blush,*Orbignya Oleifera (Babassu) Seed Oil  *Ricinus Communis (Castor) Seed Oil  *Euphorbia Cerifera (Candelilla) Wax  *Simmondsia Chinensis (Jojoba) Seed Oil  *Theobroma Grandiflorum (Cupua u) Seed Butter  Prunus Domestica (Plum) Seed Oil  Cucumis Sativus (Cucumber) Seed Oil  Opuntia Ficus Indica (Barbary Fig) Seed Oil  *Rosa Canina (Rosehip) Seed Oil  *Tocopherol Acetate (Vitamin E) may contain [+/-] Titanium Dioxide (CI 77891)  Mica (CI 77019)  Iron Oxide (CI 7749).
692,All Good Unscented Deodorant (2020 formulation) Rating,Antiperspirant/Deodorant,PROPANEDIOL**  WATER (AQUA)  SODIUM STEARATE  SACCHAROMYCES FERMENT  ALOE BARBADENSIS (ALOE) LEAF EXTRACT*  CALENDULA OFFCINALIS (CALENDULA) FLOWER EXTRACT*  MARANTA ARUDINACEA (ARROWROOT) ROOT POWDER*.
693,"Treat Lip Balm, Pina Colada Rating",Lip Balm,*VIRGIN COCONUT OIL  *BEESWAX  *FLAVOR  *COCOA BUTTER  MIXED TOCOPHEROLS  *STEVIA LEAF EXTRACT
694,"Eco Lips Bee Free, Unscented (2019 formulation) Rating",Lip Balm,: *Helianthus Annuus (Sunflower) Seed Oil  Euphorbia Cerifera (Candelilla) Wax  Fair Trade Certified *Theobroma Cacao (Cocoa) Seed Butter  Fair Trade Certified *Cocos Nucifera (Coconut) Oil  Non-GMO Tocopherol (Vitamin E) Â *Rosmarinus Officinalis (Rosemary) Leaf Extract  *Calendula Officinalis (Calendula) Flower Extract  *EupatoriumÂ Rebaudianum Bertoni (Stevia) Leaf Extract. *Certified Organic Ingredients
695,"Strawberry Hedgehog natural deodorant roll on, Harmonious Human Rating",Antiperspirant/Deodorant,essential oils  argan oil  and jojoba oil
696,Native Lavender & Rose Deodorant (2019 formulation) Rating,Antiperspirant/Deodorant,"CAPRYLIC/CAPRIC TRIGLYCERIDE  TAPIOCA STARCH 
OZOKERITE  SODIUM BICARBONATE  MAGNESIUM
HYDROXIDE  COCOS NUCIFERA (COCONUT) OIL 
CYCLODEXTRIN  BUTYROSPERMUM PARKII
(SHEA) BUTTER  DEXTROSE  LACTOBACILLUS
ACIDOPHILUS  LAVANDULA ANGUSTIFOLIA (LAVENDER)
OIL  ROSE GERANIUM FLOWER OIL"
697,"Eco Lips Pure & Simple Lip Balm, Coconut (2019 formulation) Rating",Lip Balm,Helianthus Annuus (Sunflower) Seed Oil  Beeswax  Coconut Flavor  Vanilla Flavor  Mixed Tocopherol (Vitamin E).
698,Pacifica Vegan Lip Balm - 0.45oz Rating,Lip Balm,cocos nucifera (coconut) oil  carthamus tinctorius (safflower) seed oil  euphorbia cerifera (candelilla) wax  oryza sativa (rice) bran wax  flavor (natural/naturelle)  theobroma cocoa (cocoa) seed butter  copernicia cerifera (carnauba) wax  tocopherol (vitamin E)
699,Bartholomew Sisters Lavender Peppermint Lip Balm Rating,Lip Balm,Carnauba wax  shea butter  coconut oil  peppermint oil  and lavender oil.
700,"Carina Organics Hand Soap, Peppermint Leaf Rating",Liquid Hand Soap,Filtered Aqua  Potassium Cocoate (saponified Cocos nucifera / Coconut oil)  Glycerin (vegetable)  Pinus banksiana (pine) extract  Magnesium Chloride (Magnesium Oil)  Olea europaea (olive) fruit oil  Mentha piperita (peppermint) leaf oil  Matricaria chamomilla (chamomile) flower extract  Urtica dioca (nettle) leaf extract  Taraxacum officinale (dandelion) leaf extract  Trifolium pratense (clover) flower extract  Acetic Acid (Apple Cider Vinegar)  Linum Usitatissimum (linseed) seed oil  Cucurbita pepo (pumpkin) seed oil  Helianthus annuus (sunflower) seed oil  Persea gratissima (avocado) oil.
701,Cococare Beeswax Lip Balm Rating,Lip Balm,Cera Alba (Beeswax)  Cocos Nucifera (Coconut Oil)  Helianthus Annuus (Sunflower) Seed Oil  Peppermint Oil  Carthamus Tinctorius (Safflower) Seed Oil  Persea Gratissima (Avocado) Fruit Oil  Helianthus Annuus (Sunflower) Seed Wax  Tocopherol (Vitamin E)  Honey.
702,"Rocky Mountain Soap Co. Hand & Body Wash, Lemongrass (2019 formulation)",Body Wash/Cleanser,Glycerin  Potassium Cocoate (Coconut Oil)  Aqua (Water)  Potassium Olivate (Olive Oil)  Potassium Jojobate (Jojoba)  Cymbopogon Schoenanthus (Lemongrass) Oil  Rosmarinus Officinalis (Rosemary) Leaf Oil  Sodium Phytate (Rice Bran Extract)
703,Meow Meow Tweet Repair Balm Rating,Lip Balm,*olea europaea (olive) fruit oil  *+cocos nucifera (coconut) oil  *+butyrospermum parkii (shea) fruit butter  euphorbia cerifera (candelilla) wax  *rosmarinus officinalis (rosemary) leaf extract  *commiphora myrrha (myrrh) oil  anthemis nobilis (chamomile) flower oil  *vetiveria zizanioides (vetiver) oil
704,"Silver Falls Sustainability Co. Natural Deodorant, Citrus Blossom Rating",Antiperspirant/Deodorant,Coconut Oil  Arrowroot Powder  Shea Butter  Beeswax  Baking Soda  Corn Starch  Essential Oil Blend
705,"Brown Butter Beauty Lip Treatment Balm, Lip Moisturizer Rating",Lip Balm,organic safflower oil  beeswax  raspberry oil  lemon oil  organic shea butter  spearmint leaf oil  organic rosemary extract  organic sunflower oil.
706,Honestly PHresh Sugar Mint Deodorant (2020 formulation) Rating,Antiperspirant/Deodorant,BUTYROSPERMUM PARKII (SHEA BUTTER)  MARANTA ARUNDINACEA (ARROWROOT) POWDER* FAIR TRADE CERTIFIED COCOS NUCIFERA (COCONUT) OIL*  MAGNESIUM HYDROXIDE  VEGETABLE GLYCERIN*(NON PALM)  ORIZA SATIVA (RICE BRAN) WAX  ALPHA-GLUCAN OLIGOSACCHARIDE  SALVIA OFFICINALIS (SAGE) OIL  TRIETHYL CITRATE  SODIUM CAPROYL/LACTYLATE  MENTHA PIPERITA (PEPPERMINT) OIL MENTHA VIRIDIS (SPEARMINT) LEAF OIL  CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL  VITAMIN E (SUNFLOWER DERIVED). * CERTIFIED ORGANIC
707,"Iyoba Avocado Lip Butter, Tangerine (2020 formulation) Rating",Lip Balm,: Beeswax  Shea Butter  Avocado Oil  Meadowfoam Oil  Mango Butter  Aloe Butter  Vitamin E  Essential Oil.
708,"Natural Zen, sea salt grapefruit deodorant stick Rating",Antiperspirant/Deodorant,organic coconut oil  candelilla wax  sunflower oil  essential oil
709,"Lume Smooth Solid Whole Body Deodorant, Unscented Rating",Antiperspirant/Deodorant,NEOPENTYL GLYCOL DIHEPTANOATE  PPG-15 STEARYL ETHER  ZEA MAYS (CORN) STARCH  OZOKERITE  STEARYL ALCOHOL  ISODODECANE  ISOPENTYLDIOL  MARANTA ARUNDINACEA ROOT POWDER  LAURYL LAURATE  MANDELIC ACID  SORBITAN OLEATE  SILICA  PANTHENOL  CAFFEINE  ETHYLHEXYLGLYCERIN
710,"Plant Therapy Natural Lip Balm, Watermelon Kisses Rating",Lip Balm,Limnanthes Alba (Meadowfoam) Seed Oil  Cera Alba (Beeswax)  Butyrospermum Parkii (Shea) Butter  Polyglycerol-3 Beeswax  Natural Flavor  Tocopherol (Vitamin E)  Stevia Rebaudiana Leaf Extract
711,Public Goods Hand Santizer Rating,Hand Sanitizer,Active ingredients: ethyl alcohol 62%. water  glycerin  tetrahydroxpropyl ethylenediamine  carbopol  aloe vera gel
712,"Rowe Casa Orgainics, Healthy Feet Salve Rating",Foot Moisturizer,RAW SHEA BUTTER  ORGANIC RAW & UNREFINED COCONUT OIL  ORGANIC BEESWAX  100% PURE THERAPEUTIC GRADE ESSENTIAL OILS: OREGANO  FRANKINCENSE  THYME  LEMON  TEA TREE  EUCALYPTUS.
713,"Strawberry Hedgehog natural deodorant roll on, Happy Hippie Rating",Antiperspirant/Deodorant,essential oils  argan oil  and jojoba oil
714,"Pacifica Vegan Care Lip Balm, Coconut Sheer (2020 formulation) Rating",Lip Balm,OLEA EUROPAEA (OLIVE) FRUIT OIL  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  EUPHORBIA CERIFERA (CANDELILLA) WAX  TRIHYDROXYSTEARIN  TAPIOCA STARCH  FLAVOR*  BUTYROSPERMUM PARKII (SHEA) BUTTER  THEOBROMA CACAO (COCOA) SEED BUTTER  C18-38 ALKYL HYDROXYSTEAROYL STEARATE  LACTOCOCCUS FERMENT LYSATE  COCOS NUCIFERA (COCONUT) OIL  TOCOPHEROL (VITAMIN E)  STEVIA REBAUDIANA EXTRACT.
715,Earth Mama Calming Lavender Deodorant (2018 formulation) Rating,Antiperspirant/Deodorant,Organic Coconut (Cocos Nucifera) Oil  Organic Corn (Zea Mays) Starch  Candelilla (Euphorbia Cerifera) Wax  Baking Soda (Sodium Bicarbonate)  Organic Beeswax (Cera Alba)  Magnesium Hydroxide  Organic Arrowroot (Maranta Arundinacea) Powder  Tocopherol  Organic Lavender (Lavandula Angustifolia) Oil  Organic Calendula (Calendula Officinalis) Flower Extract
716,"Chagrin Valley Soap & Salve Natural Deodorant, Coconut Cream (2019",Antiperspirant/Deodorant,ORGANIC VIRGIN COCONUT OIL; ORGANIC JOJOBA OIL; ORGANIC CORNSTARCH; BAKING SODA; ORGANIC UNREFINED BEESWAX.
717,"Eco Lips Pure & Simple Lip Balm, Vanilla (2020 formulation) Rating",Lip Balm,*HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  *CERA FLAVA (BEESWAX)  *VANILLA FLAVOR  MIXED TOCOPHEROLS (VITAMIN E).
718,"Organic Fiji Lip Balm, Peppermint Rating",Lip Balm,Sunflower Oil*  Beeswax*  Coconut Oil*  Essential Oil of Peppermint*  Vitamin E  Rosemary Extract*  Calendula Extract*.
719,"Schmidt's Tea Tree Natural Deodorant, Sensitive Skin Formula (2020",Antiperspirant/Deodorant,MAGNESIUM HYDROXIDE  COCOS NUCIFERA (COCONUT) OIL  MARANTA ARUNDINACEA (ARROWROOT) POWDER  CAPRYLIC/CAPRIC TRIGLYCERIDE (FRACTIONATED COCONUT OIL)  BUTYROSPERMUM PARKII (SHEA) BUTTER  EUPHORBIA CERIFERA (CANDELILLA) WAX  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  MELALUECA ALTERNIFOLIA (TEA TREE) ESSENTIAL OIL  TOCOPHEROL (VITAMIN E  SUNFLOWER DERIVED).
720,"Ban Invisible Roll on Antiperspirant Deodorant, Unscented Rating",Antiperspirant/Deodorant,Active Ingredients: Aluminum chlorohydrate 18.0%; Inactive Ingredients: WATER  PPG-11 STEARYL ETHER  STEARETH-2  STEARETH-20  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  PHELLODENDRON AMURENSE BARK EXTRACT  HORDEUM DISTICHON (BARLEY) EXTRACT  SANTALUM ALBUM (SANDALWOOD) EXTRACT
721,"Alaffia Coconut & Shea Butter Lip Balm, Natural Mocha Rating",Lip Balm,BUTYROSPERMUM PARKII (SHEA) BUTTER*  BEESWAX  THEOBROMA CACAO (COCOA) BUTTER  ELAEIS GUINEENSIS (PALM KERNEL) OIL*  COCOS NUCIFERA (COCONUT) OIL*.
722,"Beeking's All Natural Beeswaax Lip Balm, Lime In'da Coconut (2019",Lip Balm,BEESWAX  COCONUT OIL  SHEA BUTTER & ESSENTIAL OIL FLAVORS
723,"Ativo Skincare Nourishing Lip Balm, Coco Cream Rating",Lip Balm,Oryza Sativa (Rice) Bran Oil*  Theobroma Cacao (Cocoa) Seed Butter*  Cocos Nucifera (Coconut) Oil*  Cera Alba*
724,"Natural Zen, Amber & Camomile deodorant stick Rating",Antiperspirant/Deodorant,organic coconut oil  candelilla wax  sunflower oil  essential oil
725,"Beauty by Earth Beeswax Lip Balm, Honey (2019 formulation) Rating",Lip Balm,Organic Beeswax  Organic Castor Seed Oil  Organic Cocoa Butter  Organic Sunflower Oil  Organic Honey Flavor  Organic Shea Butter  Organic Coconut Oil  Mixed Tocopherols (Sunflower Derived Vitamin E)  Organic Rosemary Extract  Organic Stevia  Organic Calendula Extract
726,"Stinkbug Naturals All Natural Deodorant, Floral Lime (2019 formulation)",Antiperspirant/Deodorant,ORGANIC COCOS NUCIFERA (COCONUT) OIL  ORGANIC BEESWAX  SODIUM BICARBONATE  ORGANIC ZEA MAYS (CORN) STARCH  CANANGA ODORATA (YLANG YLANG) OIL  CITRUS AURANTIFOLIA (LIME) OIL
727,"Nature Made Inc Natural Lip Balm, Black Glutinous Rice Collection (2020",Lip Balm,: ORYZA SATIVA (RICE) BRAN WAX  BUTYROSPERMUM PARKII (SHEA) BUTTER  PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL  COCOS NUCIFERA (COCONUT) OIL  THEOBROMA CACAO (COCOA) SEED BUTTER
728,"Public goods, vegan natural hydrating lip balm Rating",Lip Balm,Certified organic coconut oil  shea butter  candelilla wax.
729,"Cleo + Coco Charcoal Deodorant, Sweet Surrender Rating",Antiperspirant/Deodorant,Cocos Nucifera (Coconut) Oil Butyrospermum Parkii (Shea) Butter  Manihot Esculenta (Arrowroot) Powder  Beeswax  Sodium Bicarbonate  Helianthus Annuus (Sunflower) Seed Wax  Lavender Officialis (Lavender Essential Oil)  Vanillin (Vanilla Essential Oil)  Charcoal Powder  Bentonite  Tocopherol  Glycine Soja (Soybean) Oil
730,"Schmidt's Mineral Enriched Natural Deodorant, Fragrance Free (2019",Antiperspirant/Deodorant,: MARANTA ARUNDINACEA (ARROWROOT) POWDER  SODIUM BICARBONATE (BAKING SODA)  COCOS NUCIFERA (COCONUT) OIL  BUTYROSPERMUM PARKII (SHEA) BUTTER  CAPRYLIC/CAPRIC TRIGLYCERIDE (FRACTIONATED COCONUT OIL)  EUPHORBIA CERIFERA (CANDELILLA) WAX  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  MAGNESIUM HYDROXIDE  TOCOPHEROL (VITAMIN E  SUNFLOWER DERIVED).
731,"Eco Lips Mongo Kiss Lip Balm, Acai Berry (2020 formulation) Rating",Lip Balm,*HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL*  CERA FLAVA (BEESWAX)  FAIR TRADE CERTIFIED *THEOBROMA CACAO (COCOA) SEED BUTTER  *ACAI FLAVOR  *POMEGRANATE FLAVOR  *SCHINZIOPHYTON RAUTANENII (MONGONGO) KERNEL OIL  MIXED TOCOPHEROLS (VITAMIN E)  *ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT  *CALENDULA OFFICINALIS (CALENDULA) FLOWER EXTRACT  *EUPATORIUM REBAUDIANUM BERTONI (STEVIA) LEAF EXTRACT.
732,Dr. Bronner's Arnica-Menthol Organic Magic Balm (2019 formulation) Rating,Muscle/Joint Soreness,PERSEA GRATISSIMA (AVOCADO) OIL *+ COCOS NUCIFERA (COCONUT) OIL *+ CERA ALBA (BEESWAX) * MENTHA ARVENSIS (PEPPERMINT) OIL * OLEA EUROPAEA (OLIVE) OIL *+ CINNAMOMUM (CAMPHOR) OIL * MENTHA ARVENSIS (MENTHOL) CRYSTALS * SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL * CANNABIS SATIVA (HEMP) SEED OIL * ARNICA MONTANA OIL * MENTHA PIPERITA (PEPPERMINT) OIL * TOCOPHEROL
733,"Green People Toothpaste, Fennel & Propolis Rating",Toothpaste,CALCIUM CARBONATE  GLYCERIN*^  AQUA (PURE WATER)  BETAINE  XANTHAN GUM  ALOE BARBADENSIS LEAF JUICE POWDER*  AROMA [FOENICULUM VULGARE OIL*  CINNAMOMUM ZEYLANICUM LEAF OIL*^  EUGENIA CARYOPHYLLUS BUD OIL*  COMMIPHORA MYRRHA OIL^]  PROPOLIS*  OLEA EUROPAEA LEAF EXTRACT  EUGENOL*  LIMONENE*.
734,"Rocky Mountain Soap Co. Lip Butter, Peppermint (2019 formulation) Rating",Lip Balm,Sesamum Indicum (Sesame) Seed Oil  Cera Alba (Beeswax)  Theobroma Cacao (Cocoa) Seed Butter  Butyrospermum Parkii (Shea Butter)  Helianthus Annuus (Sunflower) Seed Oil  Mentha Piperita (Peppermint) Leaf Oil  Tocopherol (Vitamin E)
735,Henne Organics Lip Balm V2 Rating,Lip Balm,ORGANIC COCOS NUCIFERA (COCONUT) OIL  ORGANIC CERA ALBA (BEESWAX)  ORGANIC PERSEA GRATISSIMA (AVOCADO) OIL  ORGANIC BUTYROSPERMUM PARKII (SHEA BUTTER) FRUIT  ORGANIC THEOBROMA CACAO (COCOA) SEED BUTTER  ORGANIC SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  TOCOPHEROL (VITAMIN E)
736,365 Everyday Value Foaming Hand Soap Personal Care Rating,Liquid Hand Soap,AQUA (WATER)  SODIUM MYRISTOYL SARCOSINATE  SODIUM COCOAMPHOACETATE  PHENOXYETHANOL  SODIUM CHLORIDE  GLYCERIN  DISODIUM COCOAMPHODIPROPIONATE  CAPRYLYL GLYCOL  COCAMIDOPROPYL HYDROXYSULTAINE  CITRIC ACID  ALLANTOIN  TOCOPHEROL (VITAMIN E)  ALOE BARBADENSIS  BUTYROSPERMUM PARKII (SHEA BUTTER).
737,Weleda Children's Tooth Gel Rating,Baby Toothpaste,Glycerin  Water (Aqua)  Silica  Algin  Calendula Officinalis Flower Extract  Prunus Amygdalus Dulcis (Sweet Almond) Oil  Esculin  Flavor (Aroma)  Limonene
738,"Island Thyme Handcrafted Lip Balm, Vanilla Bean, Vanilla Bean Rating",Lip Balm,JOJOBA OIL  BEESWAX  CASTOR OIL  SHEA BUTTER  CANDELILLA WAX  COCONUT OIL  EVENING PRIMROSE OIL  VITAMIN E TOCOPHEROL  VITAMIN E ACETATE & VANILLA FLAVOR
739,"Ktchn Apothecary Lip Treatment, Subtly Refreshing Rating",Lip Balm,Cocos Nucifera (Coconut) Oil  Cera Alba (Honeycomb Extract)  Butyrospermum Parkii (Shea Butter)  Persea Gratissima (Avocado) Oil  Vanilla Planifolia Fruit Extract (Vanilla Extract)  Mentha Piperita (Peppermint) Oil
740,"Eos Super Soft Shea Lip Balm, Coconut Milk Rating",Lip Balm,HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  BEESWAX/ CERA ALBA (CIRE D'ABEILLE)  COCOS NUCIFERA (COCONUT) OIL  BUTYROSPERMUM PARKII (SHEA) BUTTER  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  FLAVOR (AROMA)  COPERNICIA CERIFERA (CARNAUBA) WAX/CIRE DE CARNAUBA  OLEA EUROPAEA (OLIVE) FRUIT OIL  COCOS NUCIFERA (COCONUT) FRUIT EXTRACT  TOCOPHEROL  STEVIA REBAUDIANA LEAF/STEM EXTRACT  GLYCINE SOJA (SOYBEAN) OIL.
741,"Bite Deodorant, Fragrance-Free Rating",Antiperspirant/Deodorant,Fractionated coconut oil  Tapioca Starch  Ozokerite  Castor Seed Oil  Cocos Nucifera (Coconut) Oil  Shea Butter  Zinc Ricinoleate  Zinc Oxide  Jojoba Esters  Vitamin E  Sunflower Seed Oil
742,"Tom's of Maine Deodorant, Unscented Rating",Antiperspirant/Deodorant,Propylene Glycol  Aqua/Water/Eau  Sodium Stearate  Aloe Barbadensis Leaf Juice (Organic/Biologique)  Glyceryl Laurate  Humulus Lupulus (Hops) Extract  Helianthus Annuus (Sunflower) Seed Oil (Organic/Biologique)  Ascorbic Acid  Cymbopogon Flexuosus Oil (Organic)
743,Sweetbody Laboratories Arnica Grounding Balm Rating,Muscle/Joint Soreness,COLD PRESSED OLIVE OIL*  ARNICA MONTANA* (ARNICA)  CALENDULA OFFICINALIS* (CALENDULA)  BEESWAX*  PRUNUS ARMENIACA (APRICOT) KERNEL OIL*  SEA BUCKTHORN BERRY OIL*  ESSENTIAL OILS OF: LAVANDULA ANGUSTIFOLIA* (LAVENDER) ROSMARINUS OFFICINALIS* (ROSEMARY)  CITRUS BERGAMIA* (BERGAMONT)  ZINGIBIR OFFICINALE * (GINGER)  MENTHA PIPERITA* (PEPPERMINT)
744,"Beauty By Earth Lip Balm, Original Rating",Lip Balm,Organic Sunflower Oil  Organic Beeswax  Organic Castor Seed Oil  Organic Cocoa Butter  Organic Shea Butter  Organic Coconut Oil  Mixed Tocopherols (Sunflower Derived Vitamin E)  Organic Rosemary Extract  Organic Calendula Extract
745,"Thinksport Natural Deodorant, Currant & Grapefruit (2018 formulation)",Antiperspirant/Deodorant,COCOS NUCIFERA (COCONUT OIL)  EUPHORBIA CERIFERA (CANDELILLA) WAX  CERA ALBA (BEESWAX)  ZEA MAYS (CORN STARCH)  MARANTA ARUNDINACEA (ARROWROOT) POWDER)  SODIUM BICARBONATE  BUTYROSPERMUM PARKII (SHEA) BUTTER  CURRANT  CITRUS PARADISI
746,"Out Of Africa Lip Balm, Strawberry Rating",Lip Balm,Organic unrefined Shea butter  Sunflower Oil  Shea Butter  Candelilla Wax  Grapeseed Oil  Strawberry Flavor  Cocoa Butter  Vitamin E  Rosemary Extract  Calendula. - See more at: http://www.outofafricashea.com/products/lipbalms/strawberry-lip-balm.html#sthash.sOHECx40.dpuf
747,"Soapwalla Lip Balm, Coconut Lime Rating",Lip Balm,Persea gratissima (Avocado) seed oil*; Euphorbia cerifera (Candelilla) wax; Cocos nucifera (Coconut) oil*; Citrus aurantifolia (Lime) peel oil*; Tocopherol*. *certified organic
748,"Burt's Bees Beeswax Lip Balm, Vitamin E & Peppermint Rating",Lip Balm,BEESWAX  COCOS NUCIFERA (COCONUT) OIL  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  MENTHA PIPERITA (PEPPERMINT) OIL  LANOLIN  TOCOPHEROL  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT  GLYCINE SOJA (SOYBEAN) OIL  CANOLA OIL  LIMONENE  LINALOOL  EUGENOL
749,"EcoRoots Deodorant, Coconut Rating",Antiperspirant/Deodorant,Coconut Oil*  Shea Butter*  Arrowroot Powder  Wildcrafted Candelilla Wax  Magnesium Hydroxide  Non-Nano Zinc Oxide  Jojoba Oil*  Coconut Essential Oil. *Organic
750,"Natural Zen, FRANKINCENSE & ROSE NATURAL DEODORANT stick Rating",Antiperspirant/Deodorant,organic coconut oil  candelilla wax  sunflower oil  essential oil
751,Dr. Brite Mouthspray Berrylicious (2018 formulation) Rating,Mouthwash,Organic Aloe Barbadensis (Aloe Vera) Leaf Juice*  Soy-Free Vegetable Glycerin  Organic Cocos Nucifera (Coconut) Oil*  non-GMO Xylitol**  Calcium Ascorbate (Non-acidic Vitamin C)**  Organic Fregaria Vesca (Strawberry) Fruit Flavor Extract*  Organic Rubus Idaeus (Raspberry) Fruit Extract*  Organic Ocimum Sanctum (Holy Basil - Tulsi) Leaf Extract*  Hexane Free Organic Stevia Rebaudiana Leaf/Stem Extract*  Sodium Chloride (Sea Salt)  Activated Carbon (Organic Coconut Activated Charcoal).*
752,"Izme New York Moisturzing & Soothing Balm, Original Rating",Lip Balm,ETHYLHEXYL PALMITATE  SQUALANE  CERESIN  CERA ALBA  SIMMONDSIA CHENISIS (JOJOBA) SEED OIL  BUTYROSPERMUM PARKII (SHEA) BUTTER  PRUNIS AMYGDALUS DULCIS (SWEET ALMOND) OIL  TOCOPHEROL  PHENOXYETHANOL.
753,"Pangea Hand Soap, Italian White Sage, Geranium, & Yarrow Rating",Liquid Hand Soap,Purified Water  Aloe Barbadensis Leaf Juice*  Cocamidopropyl Betaine  Sodium C14-16 Olefin Sulfonate  Glycerin  Decyl Glucoside  Geranium*  Lime*  Sage*  Glycerin  Hamamelis Virginiana (Witch Hazel) Bark/Leaf/Twig Extract  Arctium Lappa Root Extract  Achillea Millefolium Extract  Foeniculum Vulgare (Fennel) Seed Extract  Samucus Nigra Flower Extract  Cannabis Sativa Oil*  Sodium Benzoate  Potassium Sorbate  Ethylhexylglycerin  Allantoin  Panthenol. *Organic Ingredients. This product is vegan and gluten-free.
754,"Alaffia Dry Finish Charcoal Deodorant, Unscented Rating",Antiperspirant/Deodorant,MARANTA ARUNDINACEA (ARROWROOT) POWDER  BUTYROPSERMUM PARKII (SHEA) BUTTER  CAPRYLIC/CAPRIC TRIGLYCERIDE  PENTADESMA BUTYRACEA (KPAGNAN) BUTTER  COCOS NUCIFERA (COCONUT) OIL  EUPHORBIA CERIFERA (CANDELILLA) WAX  MAGNESIUM CHLORIDE  CHARCOAL POWDER  BENZYL ALCOHOL (AND) ETHYLHEXYLGLYCERIN (AND) TOCOPHEROL.
755,Green Goo Lavender & Thyme Deodorant (2019 formulation) Rating,Antiperspirant/Deodorant,: MAGNESIUM HYDROXIDE  MARANTA ARUNDINACEA ROOT (ARROW ROOT) POWDER  COCOS NUCIFERA (COCONUT OIL  BUTYROSPERMUM PARKII (SHEA) BUTTER  EUPHORBIA CERIFERA (CANDELILLA) WAX  CAPRYLIC/CAPRIC TRIGLYCERIDE  CERA ALBA (BEESWAX)  CALENDULA OFFICINALIS (CALENDULA) FLOWER EXTRACT AND SESAMUM INDICUM (SESAME) SEED OIL  LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL  TOCOPHERYL ACETATE (VITAMINE)  THYMUS ZYGIS (THYME) OIL  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT.
756,"Safehands Hand Sanitizer, Unscented (2020 formulation) Rating",Hand Sanitizer,Active Ingredients: BENZALKONIUM CHLORIDE 0.13%; Inactive Ingredients: WATER  COCAMIDOPROPYL PG-DIMONIUM CHLORIDE PHOSPHATE  PROPYLENE GLYCOL  TRIETHYLENE GLYCOL  POLYSORBATE-20
